time,lat,lon,depth,Nitrate_Nitrite,SRP,Nitrate_Nitrite_below_detection_flag
2019-04-14T23:52:30.000Z,36.910660093357,-158,6,,,1
2019-04-14T23:55:32.000Z,36.9107951777986,-158,6,,,1
2019-04-14T23:58:33.000Z,36.9108414876501,-158,6,,,1
2019-04-15T00:07:29.000Z,36.91086086375,-158,6,,,1
2019-04-15T00:10:30.000Z,36.9108594970895,-158,6,,,1
2019-04-15T00:13:32.000Z,36.9108852858178,-158,6,,,1
2019-04-15T00:16:33.000Z,36.9108767061383,-158,6,,,1
2019-04-15T00:19:26.000Z,36.9108912670132,-158,6,,,1
2019-04-15T00:22:27.000Z,36.9108871135501,-158,6,,,1
2019-04-15T00:25:29.000Z,36.9108134562286,-158,6,,,1
2019-04-15T00:28:30.000Z,36.9107322862655,-158,6,,,1
2019-04-15T00:31:32.000Z,36.9106757556575,-158,6,,,1
2019-04-15T00:34:33.000Z,36.910637527892,-158,6,,,1
2019-04-15T02:49:29.000Z,36.9106989063683,-158,6,,,1
2019-04-15T04:04:30.000Z,36.9079595002161,-158,6,0.682076342078749,,0
2019-04-15T04:07:32.000Z,36.9094396987589,-158,6,0.680307880261762,,0
2019-04-15T04:10:33.000Z,36.9150531927642,-158,6,0.681020712856714,,0
2019-04-15T04:13:26.000Z,36.9208796790598,-158,6,0.658107398456875,,0
2019-04-15T04:16:27.000Z,36.9278758788961,-158,6,0.647978135286647,,0
2019-04-15T04:19:29.000Z,36.9363552708005,-158,6,0.644132359434874,,0
2019-04-15T04:22:30.000Z,36.9456418749529,-158,6,0.639526815508652,,0
2019-04-15T04:25:32.000Z,36.9550614438224,-158,6,0.622207623572068,,0
2019-04-15T04:28:33.000Z,36.9645046004754,-158,6,0.622011081251649,,0
2019-04-15T04:31:26.000Z,36.9739189054367,-158,6,0.624153747648168,,0
2019-04-15T04:40:30.000Z,37.0026477212775,-158,6,0.629284683685336,,0
2019-04-15T04:43:32.000Z,37.0122558508274,-158,6,0.625397852467198,,0
2019-04-15T04:46:33.000Z,37.0218354770114,-158,6,0.628399730611445,,0
2019-04-15T04:49:26.000Z,37.0313819089608,-158,6,0.63575332472319,,0
2019-04-15T04:52:27.000Z,37.0409052021858,-158,6,0.62570581120299,,0
2019-04-15T04:55:29.000Z,37.0504325074944,-158,6,0.628189627922538,,0
2019-04-15T04:58:30.000Z,37.0599535319749,-158,6,0.624145870690836,,0
2019-04-15T05:01:32.000Z,37.0694339479709,-158,6,0.628301930998262,,0
2019-04-15T05:04:33.000Z,37.0789556176747,-158,6,0.63361691390021,,0
2019-04-15T05:07:26.000Z,37.0885046247144,-158,6,0.631808862597889,,0
2019-04-15T05:13:29.000Z,37.1076233078317,-158,6,0.59405513627272,,0
2019-04-15T05:16:30.000Z,37.1170948151801,-158,6,0.640118588909518,,0
2019-04-15T05:19:32.000Z,37.1265295043407,-158,6,0.635408227182268,,0
2019-04-15T05:22:33.000Z,37.1359244038954,-158,6,0.627205196090842,,0
2019-04-15T05:25:26.000Z,37.1451938248302,-158,6,0.62326050371602,,0
2019-04-15T05:28:27.000Z,37.1544716508544,-158,6,0.625017768068609,,0
2019-04-15T05:31:29.000Z,37.1638335681956,-158,6,0.62833857058214,,0
2019-04-15T05:34:30.000Z,37.1731884371808,-158,6,0.633945865974784,,0
2019-04-15T05:37:32.000Z,37.1825034707326,-158,6,0.647189032537505,,0
2019-04-15T05:40:33.000Z,37.1918547813173,-158,6,0.641260494782791,,0
2019-04-15T05:43:26.000Z,37.2012511730319,-158,6,0.639024019184481,,0
2019-04-15T05:49:29.000Z,37.220400525291,-158,6,,,1
2019-04-15T05:52:30.000Z,37.2301738844062,-158,6,,,1
2019-04-15T06:37:26.000Z,37.3441803873399,-158,6,,,1
2019-04-15T06:40:27.000Z,37.3538923403044,-158,6,,,1
2019-04-15T06:43:29.000Z,37.3636016043114,-158,6,,,1
2019-04-15T06:49:32.000Z,37.3829392350383,-158,6,,,1
2019-04-15T06:52:33.000Z,37.3925259168326,-158,6,,,1
2019-04-15T06:55:26.000Z,37.4020988469189,-158,6,,,1
2019-04-15T07:04:30.000Z,37.4310476476436,-158,6,,,1
2019-04-15T07:07:32.000Z,37.4406880698342,-158,6,,,1
2019-04-15T07:10:33.000Z,37.4502985701916,-158,6,,,1
2019-04-15T07:13:26.000Z,37.4598711946212,-158,6,,,1
2019-04-15T07:16:27.000Z,37.4693851707689,-158,6,,,1
2019-04-15T07:19:29.000Z,37.4788710111906,-158,6,,,1
2019-04-15T07:22:30.000Z,37.488428164944,-158,6,,,1
2019-04-15T07:25:32.000Z,37.4979913104782,-158,6,,,1
2019-04-15T07:28:33.000Z,37.5075055293245,-158,6,,,1
2019-04-15T07:31:26.000Z,37.5170534913865,-158,6,,,1
2019-04-15T07:37:29.000Z,37.5362171355392,-158,6,,,1
2019-04-15T07:40:30.000Z,37.5457505454015,-158,6,,,1
2019-04-15T07:43:32.000Z,37.5553841483591,-158,6,,,1
2019-04-15T07:46:33.000Z,37.5650196980388,-158,6,,,1
2019-04-15T07:49:26.000Z,37.574560917173,-158,6,,,1
2019-04-15T07:52:27.000Z,37.5841195081504,-158,6,,,1
2019-04-15T07:55:29.000Z,37.5936984575337,-158,6,,,1
2019-04-15T07:58:30.000Z,37.6032338387152,-158,6,,,1
2019-04-15T08:01:32.000Z,37.611528309126,-158,6,,,1
2019-04-15T08:04:33.000Z,37.61704729036,-158,6,,,1
2019-04-15T08:07:26.000Z,37.6220818767443,-158,6,,,1
2019-04-15T08:13:29.000Z,37.63189322682,-158,6,,,1
2019-04-15T08:16:30.000Z,37.6378240678892,-158,6,,,1
2019-04-15T08:19:32.000Z,37.6450849305972,-158,6,,,1
2019-04-15T08:22:33.000Z,37.6529231701275,-158,6,,,1
2019-04-15T08:25:26.000Z,37.6615719321787,-158,6,,,1
2019-04-15T08:28:27.000Z,37.6709637484046,-158,6,,,1
2019-04-15T08:31:29.000Z,37.680471934647,-158,6,,,1
2019-04-15T08:34:30.000Z,37.6899448408949,-158,6,,,1
2019-04-15T08:37:32.000Z,37.6993857629897,-158,6,,,1
2019-04-15T08:40:33.000Z,37.7088286123622,-158,6,,,1
2019-04-15T08:43:26.000Z,37.718250337762,-158,6,,,1
2019-04-15T08:46:27.000Z,37.7276832841769,-158,6,,,1
2019-04-15T08:49:29.000Z,37.7372382080485,-158,6,,,1
2019-04-15T09:31:32.000Z,37.8702468570622,-158,6,,,1
2019-04-15T09:34:33.000Z,37.8798746541292,-158,6,,,1
2019-04-15T09:37:26.000Z,37.8894734104412,-158,6,,,1
2019-04-15T09:40:27.000Z,37.8990921623993,-158,6,,,1
2019-04-15T09:46:30.000Z,37.9183126816245,-158,6,,,1
2019-04-15T09:49:32.000Z,37.9279252906749,-158,6,,,1
2019-04-15T09:52:33.000Z,37.9374871547359,-158,6,,,1
2019-04-15T09:58:27.000Z,37.9565942452147,-158,6,,,1
2019-04-15T10:01:29.000Z,37.9652297324867,-158,6,,,1
2019-04-15T10:04:30.000Z,37.9711928671656,-158,6,,,1
2019-04-15T10:07:32.000Z,37.9784223711216,-158,6,,,1
2019-04-15T10:10:33.000Z,37.9837503433384,-158,6,,,1
2019-04-15T10:13:26.000Z,37.9891471436564,-158,6,,,1
2019-04-15T10:16:27.000Z,37.9948787460529,-158,6,,,1
2019-04-15T10:19:29.000Z,38.0018945834236,-158,6,,,1
2019-04-15T10:22:30.000Z,38.0103343070112,-158,6,,,1
2019-04-15T10:25:32.000Z,38.0198839846138,-158,6,,,1
