Rep,Compound,Area,Cruise
220623_Smp_CXSPE_Blk1_A,"DL-Alanine, 2H3",36848796,KM1906
220623_Smp_CXSPE_Blk1_B,"DL-Alanine, 2H3",39142920,KM1906
220623_Smp_CXSPE_Blk1_C,"DL-Alanine, 2H3",53467228,KM1906
220623_Smp_CXSPE_Blk2_A,"DL-Alanine, 2H3",19880630,KM1906
220623_Smp_CXSPE_Blk2_B,"DL-Alanine, 2H3",34737524,KM1906
220623_Smp_CXSPE_Blk2_C,"DL-Alanine, 2H3",9495272,KM1906
220623_Smp_CXSPE_Blk3_A,"DL-Alanine, 2H3",12658936,KM1906
220623_Smp_CXSPE_Blk3_B,"DL-Alanine, 2H3",43053756,KM1906
220623_Smp_CXSPE_Blk3_C,"DL-Alanine, 2H3",8505463,KM1906
220623_Smp_CXSPE_Blk4_A,"DL-Alanine, 2H3",14155934,KM1906
220623_Smp_CXSPE_Blk4_B,"DL-Alanine, 2H3",28261614,KM1906
220623_Smp_CXSPE_Blk4_C,"DL-Alanine, 2H3",25064318,KM1906
220623_Smp_MQBlk_1,"DL-Alanine, 2H3",43623020,KM1906
220623_Smp_MQBlk_2,"DL-Alanine, 2H3",48415888,KM1906
220623_Smp_MQBlk_3,"DL-Alanine, 2H3",5086623,KM1906
220623_Smp_MQBlk_4,"DL-Alanine, 2H3",24502440,KM1906
220623_Smp_MQBlk_5,"DL-Alanine, 2H3",42126352,KM1906
220623_Smp_MQBlk_6,"DL-Alanine, 2H3",42914492,KM1906
220623_Smp_MU1_A,"DL-Alanine, 2H3",47474032,KM1906
220623_Smp_MU1_B,"DL-Alanine, 2H3",35102312,KM1906
220623_Smp_MU1_C,"DL-Alanine, 2H3",41370788,KM1906
220623_Smp_MU10_A,"DL-Alanine, 2H3",7705198,KM1906
220623_Smp_MU10_B,"DL-Alanine, 2H3",32019874,KM1906
220623_Smp_MU10_C,"DL-Alanine, 2H3",41372768,KM1906
220623_Smp_MU11_A,"DL-Alanine, 2H3",40673680,KM1906
220623_Smp_MU11_B,"DL-Alanine, 2H3",52642460,KM1906
220623_Smp_MU11_C,"DL-Alanine, 2H3",39677668,KM1906
220623_Smp_MU12_A,"DL-Alanine, 2H3",54253944,KM1906
220623_Smp_MU12_B,"DL-Alanine, 2H3",35246580,KM1906
220623_Smp_MU12_C,"DL-Alanine, 2H3",40394268,KM1906
220623_Smp_MU13_A,"DL-Alanine, 2H3",42526052,KM1906
220623_Smp_MU13_B,"DL-Alanine, 2H3",35632680,KM1906
220623_Smp_MU13_C,"DL-Alanine, 2H3",10266741,KM1906
220623_Smp_MU14_A,"DL-Alanine, 2H3",57178736,KM1906
220623_Smp_MU14_B,"DL-Alanine, 2H3",33396850,KM1906
220623_Smp_MU14_C,"DL-Alanine, 2H3",34954560,KM1906
220623_Smp_MU15_A,"DL-Alanine, 2H3",23501718,KM1906
220623_Smp_MU15_B,"DL-Alanine, 2H3",26752296,KM1906
220623_Smp_MU15_C,"DL-Alanine, 2H3",32043776,KM1906
220623_Smp_MU16_A,"DL-Alanine, 2H3",38365912,KM1906
220623_Smp_MU16_B,"DL-Alanine, 2H3",45636968,KM1906
220623_Smp_MU16_C,"DL-Alanine, 2H3",8887934,KM1906
220623_Smp_MU17_A,"DL-Alanine, 2H3",42597648,KM1906
220623_Smp_MU17_B,"DL-Alanine, 2H3",41075352,KM1906
220623_Smp_MU2_A,"DL-Alanine, 2H3",45282128,KM1906
220623_Smp_MU2_B,"DL-Alanine, 2H3",30728604,KM1906
220623_Smp_MU2_C,"DL-Alanine, 2H3",47498156,KM1906
220623_Smp_MU3_A,"DL-Alanine, 2H3",35438664,KM1906
220623_Smp_MU3_B,"DL-Alanine, 2H3",31400554,KM1906
220623_Smp_MU3_C,"DL-Alanine, 2H3",47882680,KM1906
220623_Smp_MU4_A,"DL-Alanine, 2H3",48815292,KM1906
220623_Smp_MU4_B,"DL-Alanine, 2H3",40373436,KM1906
220623_Smp_MU4_C,"DL-Alanine, 2H3",44914844,KM1906
220623_Smp_MU5_A,"DL-Alanine, 2H3",40389548,KM1906
220623_Smp_MU5_B,"DL-Alanine, 2H3",39675712,KM1906
220623_Smp_MU5_C,"DL-Alanine, 2H3",49797372,KM1906
220623_Smp_MU6_A,"DL-Alanine, 2H3",41960364,KM1906
220623_Smp_MU6_B,"DL-Alanine, 2H3",30436682,KM1906
220623_Smp_MU6_C,"DL-Alanine, 2H3",43672136,KM1906
220623_Smp_MU7_A,"DL-Alanine, 2H3",38202468,KM1906
220623_Smp_MU7_B,"DL-Alanine, 2H3",53948800,KM1906
220623_Smp_MU7_C,"DL-Alanine, 2H3",44083356,KM1906
220623_Smp_MU8_A,"DL-Alanine, 2H3",42606276,KM1906
220623_Smp_MU8_B,"DL-Alanine, 2H3",46451736,KM1906
220623_Smp_MU8_C,"DL-Alanine, 2H3",35589948,KM1906
220623_Smp_MU9_A,"DL-Alanine, 2H3",40889732,KM1906
220623_Smp_MU9_B,"DL-Alanine, 2H3",24308818,KM1906
220623_Smp_MU9_C,"DL-Alanine, 2H3",41724352,KM1906
220623_Std_4uMStdsMix1InH2O_1,"DL-Histidine, 15N",5378083,KM1906
220623_Std_4uMStdsMix1InH2O_2,"DL-Histidine, 15N",1818450,KM1906
220623_Std_4uMStdsMix1InMatrix_1,"DL-Histidine, 15N",22156956,KM1906
220623_Std_4uMStdsMix1InMatrix_2,"DL-Histidine, 15N",27434866,KM1906
220623_Std_4uMStdsMix2InH2O_1,"DL-Histidine, 15N",9817,KM1906
220623_Std_4uMStdsMix2InH2O_2,"DL-Histidine, 15N",NA,KM1906
220623_Std_4uMStdsMix2InMatrix_1,"DL-Histidine, 15N",20859508,KM1906
220623_Std_4uMStdsMix2InMatrix_2,"DL-Histidine, 15N",21055508,KM1906
220623_Std_H2OinMatrix_1,"DL-Histidine, 15N",20304966,KM1906
220623_Std_H2OinMatrix_2,"DL-Histidine, 15N",20851884,KM1906
220623_Poo_TruePooG3-CXSPE_Full1,"DL-Histidine, 15N",34928904,KM1906
220623_Poo_TruePooG3-CXSPE_Full2,"DL-Histidine, 15N",34862484,KM1906
