Rep,SampID,replicate,Cruise,Compound,Area,min.area.flag,blk.lod.flag,Blk.Av
220623_Smp_MU2_C,MU2,C,KM1906,Dimethylsulfoniopropionate,51335744,NA,NA,NA
220623_Smp_MU3_A,MU3,A,KM1906,Dimethylsulfoniopropionate,43333292,NA,NA,NA
220623_Smp_MU3_B,MU3,B,KM1906,Dimethylsulfoniopropionate,51609956,NA,NA,NA
220623_Smp_MU3_C,MU3,C,KM1906,Dimethylsulfoniopropionate,75097848,NA,NA,NA
220623_Smp_MU4_A,MU4,A,KM1906,Dimethylsulfoniopropionate,55877784,NA,NA,NA
220623_Smp_MU4_B,MU4,B,KM1906,Dimethylsulfoniopropionate,58917840,NA,NA,NA
220623_Smp_MU4_C,MU4,C,KM1906,Dimethylsulfoniopropionate,46068292,NA,NA,NA
220623_Smp_MU5_A,MU5,A,KM1906,Dimethylsulfoniopropionate,34953592,NA,NA,NA
220623_Smp_MU5_B,MU5,B,KM1906,Dimethylsulfoniopropionate,39376860,NA,NA,NA
220623_Smp_MU5_C,MU5,C,KM1906,Dimethylsulfoniopropionate,54295132,NA,NA,NA
220623_Smp_MU6_A,MU6,A,KM1906,Dimethylsulfoniopropionate,44810600,NA,NA,NA
220623_Smp_MU6_B,MU6,B,KM1906,Dimethylsulfoniopropionate,54055912,NA,NA,NA
220623_Smp_MU6_C,MU6,C,KM1906,Dimethylsulfoniopropionate,50226196,NA,NA,NA
220623_Smp_MU7_A,MU7,A,KM1906,Dimethylsulfoniopropionate,43287876,NA,NA,NA
220623_Smp_MU7_B,MU7,B,KM1906,Dimethylsulfoniopropionate,72453328,NA,NA,NA
220623_Smp_MU7_C,MU7,C,KM1906,Dimethylsulfoniopropionate,61206936,NA,NA,NA
220623_Smp_MU8_A,MU8,A,KM1906,Dimethylsulfoniopropionate,76992936,NA,NA,NA
220623_Smp_MU8_B,MU8,B,KM1906,Dimethylsulfoniopropionate,72962904,NA,NA,NA
220623_Smp_MU8_C,MU8,C,KM1906,Dimethylsulfoniopropionate,50731440,NA,NA,NA
220623_Smp_MU9_A,MU9,A,KM1906,Dimethylsulfoniopropionate,51795828,NA,NA,NA
220623_Smp_MU9_B,MU9,B,KM1906,Dimethylsulfoniopropionate,11528272,NA,NA,NA
220623_Smp_MU9_C,MU9,C,KM1906,Dimethylsulfoniopropionate,47428472,NA,NA,NA
220623_Smp_MU1_A,MU1,A,KM1906,Glycine betaine,3230101248,NA,NA,NA
