MF,FinalBMIS,Orig_RSD,Cruise,FinalRSD,SampID,runDate,type,samp,replicate,Area,Adjusted_Area
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_RC078_S7_C3_D6_A,240102,Smp,RC078,S7,534393376,534393376
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_RC078_S7_C3_D6_B,240102,Smp,RC078,S7,584555776,584555776
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_RC078_S7_C3_D6_C,240102,Smp,RC078,S7,596614272,596614272
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_RC078_UKH1_A,240102,Smp,RC078,UKH1,9697515,9697515
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_RC078_UKH1_B,240102,Smp,RC078,UKH1,12776554,12776554
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_RC078_UKH1_C,240102,Smp,RC078,UKH1,15492698,15492698
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_RC078_UKH2_A,240102,Smp,RC078,UKH2,35786796,35786796
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_RC078_UKH2_B,240102,Smp,RC078,UKH2,27766774,27766774
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_RC078_UKH2_C,240102,Smp,RC078,UKH2,30197978,30197978
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_RC104_UCH1_A,240102,Smp,RC104,UCH1,8033268,8033268
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_RC104_UCH1_B,240102,Smp,RC104,UCH1,5911968,5911968
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_RC104_UCH1_C,240102,Smp,RC104,UCH1,8043546,8043546
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_RC104_UKH1_A,240102,Smp,RC104,UKH1,7013252,7013252
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_RC104_UKH1_B,240102,Smp,RC104,UKH1,6578261,6578261
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_RC104_UKH1_C,240102,Smp,RC104,UKH1,7330208,7330208
Betonicine,Inj_vol,0.0560022094113223,RC078,0.0560022094113223,240415_Poo_D1-CXSPE_Full1,240415,Poo,D1-CXSPE,Full1,35284276,35284276
Betonicine,Inj_vol,0.0560022094113223,RC078,0.0560022094113223,240415_Poo_D1-CXSPE_Full2,240415,Poo,D1-CXSPE,Full2,33497604,33497604
Betonicine,Inj_vol,0.0560022094113223,RC078,0.0560022094113223,240415_Poo_D1-CXSPE_Full3,240415,Poo,D1-CXSPE,Full3,36724720,36724720
Betonicine,Inj_vol,0.0560022094113223,RC078,0.0560022094113223,240415_Poo_D1-CXSPE_Half1,240415,Poo,D1-CXSPE,Half1,17400178,34800356
Betonicine,Inj_vol,0.0560022094113223,RC078,0.0560022094113223,240415_Poo_D1-CXSPE_Half2,240415,Poo,D1-CXSPE,Half2,19152910,38305820
Betonicine,Inj_vol,0.0560022094113223,RC078,0.0560022094113223,240415_Poo_D1-CXSPE_Half3,240415,Poo,D1-CXSPE,Half3,19297986,38595972
Betonicine,Inj_vol,0.0560022094113223,RC078,0.0560022094113223,240415_Smp_BottleBlk_1,240415,Smp,BottleBlk,1,40858,40858
Betonicine,Inj_vol,0.0560022094113223,RC078,0.0560022094113223,240415_Smp_BottleBlk_2,240415,Smp,BottleBlk,2,430841,430841
Betonicine,Inj_vol,0.0560022094113223,RC078,0.0560022094113223,240415_Smp_FilterBlk_1,240415,Smp,FilterBlk,1,284852,284852
Betonicine,Inj_vol,0.0560022094113223,RC078,0.0560022094113223,240415_Smp_FilterBlk_2,240415,Smp,FilterBlk,2,565660,565660
Betonicine,Inj_vol,0.0560022094113223,RC078,0.0560022094113223,240415_Smp_FilterBlk_3,240415,Smp,FilterBlk,3,984167,984167
Betonicine,Inj_vol,0.0560022094113223,RC078,0.0560022094113223,240415_Smp_FilterBlk_4,240415,Smp,FilterBlk,4,182843,182843
Betonicine,Inj_vol,0.0560022094113223,RC078,0.0560022094113223,240415_Smp_MQBlk1_A,240415,Smp,MQBlk1,A,182101,182101
Betonicine,Inj_vol,0.0560022094113223,RC078,0.0560022094113223,240415_Smp_MQBlk1_B,240415,Smp,MQBlk1,B,548063,548063
Betonicine,Inj_vol,0.0560022094113223,RC078,0.0560022094113223,240415_Smp_MQBlk1_C,240415,Smp,MQBlk1,C,212832,212832
Betonicine,Inj_vol,0.0560022094113223,RC078,0.0560022094113223,240415_Smp_MQBlk2_A,240415,Smp,MQBlk2,A,387556,387556
Betonicine,Inj_vol,0.0560022094113223,RC078,0.0560022094113223,240415_Smp_MQBlk2_B,240415,Smp,MQBlk2,B,1315682,1315682
Betonicine,Inj_vol,0.0560022094113223,RC078,0.0560022094113223,240415_Smp_MQBlk2_C,240415,Smp,MQBlk2,C,44525,44525
Betonicine,Inj_vol,0.0560022094113223,RC078,0.0560022094113223,240415_Smp_MQBlk3_A,240415,Smp,MQBlk3,A,734115,734115
Betonicine,Inj_vol,0.0560022094113223,RC078,0.0560022094113223,240415_Smp_MQBlk3_B,240415,Smp,MQBlk3,B,821862,821862
Betonicine,Inj_vol,0.0560022094113223,RC078,0.0560022094113223,240415_Smp_MQBlk3_C,240415,Smp,MQBlk3,C,382395,382395
Betonicine,Inj_vol,0.0560022094113223,RC078,0.0560022094113223,240415_Smp_MQBlk4_A,240415,Smp,MQBlk4,A,284087,284087
Betonicine,Inj_vol,0.0560022094113223,RC078,0.0560022094113223,240415_Smp_MQBlk4_B,240415,Smp,MQBlk4,B,240124,240124
Betonicine,Inj_vol,0.0560022094113223,RC078,0.0560022094113223,240415_Smp_MQBlk5_A,240415,Smp,MQBlk5,A,1035193,1035193
Betonicine,Inj_vol,0.0560022094113223,RC078,0.0560022094113223,240415_Smp_MQBlk5_B,240415,Smp,MQBlk5,B,100826,100826
Betonicine,Inj_vol,0.0560022094113223,RC078,0.0560022094113223,240415_Smp_MQBlk5_C,240415,Smp,MQBlk5,C,295562,295562
Betonicine,Inj_vol,0.0560022094113223,RC078,0.0560022094113223,240415_Smp_S2_C4_D5_A,240415,Smp,S2,C4,4922039,4922039
Betonicine,Inj_vol,0.0560022094113223,RC078,0.0560022094113223,240415_Smp_S2_C4_D5_B,240415,Smp,S2,C4,5542771,5542771
Betonicine,Inj_vol,0.0560022094113223,RC078,0.0560022094113223,240415_Smp_S2_C4_D5_C,240415,Smp,S2,C4,6223832,6223832
Betonicine,Inj_vol,0.0560022094113223,RC078,0.0560022094113223,240415_Smp_S2_C4_D6_A,240415,Smp,S2,C4,4349522,4349522
Betonicine,Inj_vol,0.0560022094113223,RC078,0.0560022094113223,240415_Smp_S2_C4_D6_B,240415,Smp,S2,C4,7334469,7334469
Betonicine,Inj_vol,0.0560022094113223,RC078,0.0560022094113223,240415_Smp_S2_C4_D6_C,240415,Smp,S2,C4,2863835,2863835
Betonicine,Inj_vol,0.0560022094113223,RC078,0.0560022094113223,240415_Smp_S3_C2_D3_A,240415,Smp,S3,C2,3426378,3426378
Betonicine,Inj_vol,0.0560022094113223,RC078,0.0560022094113223,240415_Smp_S3_C2_D3_B,240415,Smp,S3,C2,3987146,3987146
Betonicine,Inj_vol,0.0560022094113223,RC078,0.0560022094113223,240415_Smp_S3_C2_D3_C,240415,Smp,S3,C2,4669425,4669425
Betonicine,Inj_vol,0.0560022094113223,RC078,0.0560022094113223,240415_Smp_S3_C2_D4_A,240415,Smp,S3,C2,1906550,1906550
Betonicine,Inj_vol,0.0560022094113223,RC078,0.0560022094113223,240415_Smp_S3_C2_D4_B,240415,Smp,S3,C2,3804065,3804065
Betonicine,Inj_vol,0.0560022094113223,RC078,0.0560022094113223,240415_Smp_S3_C2_D4_C,240415,Smp,S3,C2,1888834,1888834
Betonicine,Inj_vol,0.0560022094113223,RC078,0.0560022094113223,240415_Smp_S5_C3_D2_A,240415,Smp,S5,C3,9356108,9356108
Betonicine,Inj_vol,0.0560022094113223,RC078,0.0560022094113223,240415_Smp_S5_C3_D2_B,240415,Smp,S5,C3,7816473,7816473
Betonicine,Inj_vol,0.0560022094113223,RC078,0.0560022094113223,240415_Smp_S5_C3_D2_C,240415,Smp,S5,C3,6456256,6456256
Betonicine,Inj_vol,0.0560022094113223,RC078,0.0560022094113223,240415_Smp_S5_C3_D3_A,240415,Smp,S5,C3,4674442,4674442
Betonicine,Inj_vol,0.0560022094113223,RC078,0.0560022094113223,240415_Smp_S5_C3_D3_B,240415,Smp,S5,C3,12426646,12426646
