Rep,Compound,Area,Batch
170706_Poo_TruePoo_Half5,Proline betaine,67332792,G2
170706_Poo_TruePoo_Half6,Proline betaine,69890128,G2
170706_Poo_TruePoo_Half7,Proline betaine,70187016,G2
170706_Smp_S3E15D15_A,Proline betaine,173402464,G2
170706_Smp_S3E15D15_B,Proline betaine,91007920,G2
170706_Smp_S3E15D15_C,Proline betaine,138514880,G2
170706_Smp_S3E15E15_Ds,Proline betaine,69553696,G2
170706_Smp_S4E16D15_A,Proline betaine,86635472,G2
170706_Smp_S4E16D15_B,Proline betaine,125442864,G2
170706_Smp_S4E16D15_C,Proline betaine,85557664,G2
170706_Smp_S4E16D15_Ds,Proline betaine,67325208,G2
170706_Smp_S5E28D15_A,Proline betaine,49461360,G2
170706_Smp_S5E28D15_B,Proline betaine,50812960,G2
170706_Smp_S5E28D15_C,Proline betaine,65511868,G2
170706_Smp_S5E28D15_Ds,Proline betaine,42828636,G2
170706_Smp_S6E37D15_A,Proline betaine,538851200,G2
170706_Smp_S6E37D15_B,Proline betaine,393226048,G2
170706_Smp_S6E37D15_C,Proline betaine,349627616,G2
170706_Smp_S6E37D15_Ds,Proline betaine,130811848,G2
170706_Std_4uM-StdsInH2O_1,Betonicine,116136,G2
170706_Std_4uM-StdsInH2O_2,Betonicine,67606,G2
170706_Std_4uM-StdsInH2O_3,Betonicine,161393,G2
170706_Std_4uM-StdsInH2O_4,Betonicine,337644,G2
170706_Std_4uM-StdsInH2O_5,Betonicine,118217,G2
170706_Std_4uM-StdsInH2O_6,Betonicine,76386,G2
170706_Std_4uM-StdsInAqMatrix_1,Betonicine,197244816,G2
170706_Std_4uM-StdsInAqMatrix_2,Betonicine,153458768,G2
170706_Std_4uM-StdsInAqMatrix_3,Betonicine,144226224,G2
170706_Std_4uM-StdsInAqMatrix_4,Betonicine,97443160,G2
170706_Std_4uM-StdsInAqMatrix_5,Betonicine,49751892,G2
170706_Blk_Blk0p2_1,Betonicine,429329,G2
170706_Blk_Blk0p2_2,Betonicine,2472613,G2
170706_Blk_BlkMQ_1,Betonicine,59323,G2
170706_Blk_BlkMQ_3,Betonicine,768050,G2
170706_Blk_MQBlk_2,Betonicine,7368,G2
170706_Poo_TruePoo_Full1,Betonicine,142560080,G2
170706_Poo_TruePoo_Full2,Betonicine,155453872,G2
170706_Poo_TruePoo_Full3,Betonicine,139980848,G2
170706_Poo_TruePoo_Full4,Betonicine,137458976,G2
170706_Poo_TruePoo_Full5,Betonicine,157165200,G2
170706_Poo_TruePoo_Full6,Betonicine,175601232,G2
170706_Poo_TruePoo_Full7,Betonicine,172630176,G2
170706_Poo_TruePoo_Half1,Betonicine,71332112,G2
170706_Poo_TruePoo_Half2,Betonicine,74984504,G2
170706_Poo_TruePoo_Half3,Betonicine,68256104,G2
170706_Poo_TruePoo_Half4,Betonicine,73537088,G2
170706_Poo_TruePoo_Half5,Betonicine,82146152,G2
170706_Poo_TruePoo_Half6,Betonicine,79654440,G2
170706_Poo_TruePoo_Half7,Betonicine,79552888,G2
170706_Smp_S3E15D15_A,Betonicine,171291440,G2
170706_Smp_S3E15D15_B,Betonicine,74463592,G2
170706_Smp_S3E15D15_C,Betonicine,110242696,G2
170706_Smp_S3E15E15_Ds,Betonicine,47497088,G2
170706_Smp_S4E16D15_A,Betonicine,70887432,G2
170706_Smp_S4E16D15_B,Betonicine,98067120,G2
170706_Smp_S4E16D15_C,Betonicine,63455768,G2
170706_Smp_S4E16D15_Ds,Betonicine,43659876,G2
170706_Smp_S5E28D15_A,Betonicine,33839720,G2
170706_Smp_S5E28D15_B,Betonicine,34398288,G2
170706_Smp_S5E28D15_C,Betonicine,40962976,G2
170706_Smp_S5E28D15_Ds,Betonicine,22964980,G2
170706_Smp_S6E37D15_A,Betonicine,641761344,G2
170706_Smp_S6E37D15_B,Betonicine,414218720,G2
170706_Smp_S6E37D15_C,Betonicine,343862400,G2
170706_Smp_S6E37D15_Ds,Betonicine,181767280,G2
170706_Std_4uM-StdsInH2O_1,Gonyol,158033,G2
170706_Std_4uM-StdsInH2O_2,Gonyol,306759,G2
170706_Std_4uM-StdsInH2O_3,Gonyol,59271,G2
170706_Std_4uM-StdsInH2O_4,Gonyol,29229,G2
170706_Std_4uM-StdsInH2O_5,Gonyol,18141,G2
170706_Std_4uM-StdsInH2O_6,Gonyol,30539,G2
170706_Std_4uM-StdsInAqMatrix_1,Gonyol,707123776,G2
170706_Std_4uM-StdsInAqMatrix_2,Gonyol,651978688,G2
170706_Std_4uM-StdsInAqMatrix_3,Gonyol,626740160,G2
170706_Std_4uM-StdsInAqMatrix_4,Gonyol,342009920,G2
170706_Std_4uM-StdsInAqMatrix_5,Gonyol,193797120,G2
170706_Blk_Blk0p2_1,Gonyol,1202831,G2
170706_Blk_Blk0p2_2,Gonyol,1882428,G2
170706_Blk_BlkMQ_1,Gonyol,154510,G2
170706_Blk_BlkMQ_3,Gonyol,994686,G2
170706_Blk_MQBlk_2,Gonyol,332916,G2
170706_Poo_TruePoo_Full1,Gonyol,439337888,G2
170706_Poo_TruePoo_Full2,Gonyol,369917056,G2
170706_Poo_TruePoo_Full3,Gonyol,308395488,G2
170706_Poo_TruePoo_Full4,Gonyol,332838560,G2
170706_Poo_TruePoo_Full5,Gonyol,360851552,G2
170706_Poo_TruePoo_Full6,Gonyol,309848544,G2
170706_Poo_TruePoo_Full7,Gonyol,298457184,G2
170706_Poo_TruePoo_Half1,Gonyol,302682944,G2
170706_Poo_TruePoo_Half2,Gonyol,357776256,G2
170706_Poo_TruePoo_Half3,Gonyol,350933248,G2
170706_Poo_TruePoo_Half4,Gonyol,388976128,G2
170706_Poo_TruePoo_Half5,Gonyol,326183008,G2
170706_Poo_TruePoo_Half6,Gonyol,335346720,G2
170706_Poo_TruePoo_Half7,Gonyol,357278848,G2
170706_Smp_S3E15D15_A,Gonyol,137496304,G2
170706_Smp_S3E15D15_B,Gonyol,83082968,G2
170706_Smp_S3E15D15_C,Gonyol,71758576,G2
170706_Smp_S3E15E15_Ds,Gonyol,10959135,G2
170706_Smp_S4E16D15_A,Gonyol,175234080,G2
170706_Smp_S4E16D15_B,Gonyol,129693040,G2
170706_Smp_S4E16D15_C,Gonyol,232740480,G2
170706_Smp_S4E16D15_Ds,Gonyol,20766706,G2
170706_Smp_S5E28D15_A,Gonyol,52226628,G2
170706_Smp_S5E28D15_B,Gonyol,51777760,G2
170706_Smp_S5E28D15_C,Gonyol,130177408,G2
170706_Smp_S5E28D15_Ds,Gonyol,7427013,G2
170706_Smp_S6E37D15_A,Gonyol,985973888,G2
