Rep,Cruise,Injec_vol
240102_Smp_RC078_CXBLK_B,KinExp,2
240102_Smp_RC078_CXBLK_C,KinExp,2
240102_Smp_RC078_S7_C3_D6_A,KinExp,2
240102_Smp_RC078_S7_C3_D6_B,KinExp,2
240102_Smp_RC078_S7_C3_D6_C,KinExp,2
240102_Smp_RC078_UKH1_A,KinExp,2
240102_Smp_RC078_UKH1_B,KinExp,2
240102_Smp_RC078_UKH1_C,KinExp,2
240102_Smp_RC078_UKH2_A,KinExp,2
240102_Smp_RC078_UKH2_B,KinExp,2
240102_Smp_RC078_UKH2_C,KinExp,2
240102_Smp_RC104_UCH1_A,KinExp,2
240102_Smp_RC104_UCH1_B,KinExp,2
240102_Smp_RC104_UCH1_C,KinExp,2
240102_Smp_RC104_UKH1_A,KinExp,2
240102_Smp_RC104_UKH1_B,KinExp,2
240102_Smp_RC104_UKH1_C,KinExp,2
240415_Std_4uMStdsMix1InH2O_1,RC078,2
240415_Std_4uMStdsMix1InH2O_2,RC078,2
240415_Std_4uMStdsMix1InMatrix_1,RC078,2
240415_Std_4uMStdsMix1InMatrix_2,RC078,2
240415_Std_4uMStdsMix2InH2O_1,RC078,2
240415_Std_4uMStdsMix2InH2O_2,RC078,2
240415_Std_4uMStdsMix2InMatrix_1,RC078,2
240415_Std_4uMStdsMix2InMatrix_2,RC078,2
240415_Std_H2OinMatrix_1,RC078,2
240415_Std_H2OinMatrix_2,RC078,2
240415_Poo_D1-CXSPE_Full1,RC078,2
240415_Poo_D1-CXSPE_Full2,RC078,2
240415_Poo_D1-CXSPE_Full3,RC078,2
240415_Poo_D1-CXSPE_Half1,RC078,1
240415_Poo_D1-CXSPE_Half2,RC078,1
240415_Poo_D1-CXSPE_Half3,RC078,1
240415_Smp_BottleBlk_1,RC078,2
240415_Smp_BottleBlk_2,RC078,2
240415_Smp_FilterBlk_1,RC078,2
240415_Smp_FilterBlk_2,RC078,2
240415_Smp_FilterBlk_3,RC078,2
240415_Smp_FilterBlk_4,RC078,2
240415_Smp_MQBlk1_A,RC078,2
240415_Smp_MQBlk1_B,RC078,2
240415_Smp_MQBlk1_C,RC078,2
240415_Smp_MQBlk2_A,RC078,2
240415_Smp_MQBlk2_B,RC078,2
