Rep,SampID,replicate,Cruise,Compound,Area,min.area.flag,blk.ratio.flag
220628_Smp_MU14_B,MU14,B,KM1906,Dimethylsulfonioacetate,1209838464,NA,NA
220628_Smp_MU14_C,MU14,C,KM1906,Dimethylsulfonioacetate,927154688,NA,NA
220628_Smp_MU15_A,MU15,A,KM1906,Dimethylsulfonioacetate,820562240,NA,NA
220628_Smp_MU15_B,MU15,B,KM1906,Dimethylsulfonioacetate,1383630080,NA,NA
220628_Smp_MU15_C,MU15,C,KM1906,Dimethylsulfonioacetate,890501952,NA,NA
220628_Smp_MU16_A,MU16,A,KM1906,Dimethylsulfonioacetate,801055360,NA,NA
220628_Smp_MU16_B,MU16,B,KM1906,Dimethylsulfonioacetate,1984758144,NA,NA
220628_Smp_MU16_C,MU16,C,KM1906,Dimethylsulfonioacetate,1400129280,NA,NA
220628_Smp_MU17_A,MU17,A,KM1906,Dimethylsulfonioacetate,594132672,NA,NA
220628_Smp_MU17_B,MU17,B,KM1906,Dimethylsulfonioacetate,1113656960,NA,NA
220628_Smp_MU17_C,MU17,C,KM1906,Dimethylsulfonioacetate,1420547968,NA,NA
220628_Smp_MU18_A,MU18,A,KM1906,Dimethylsulfonioacetate,741230016,NA,NA
220628_Smp_MU18_B,MU18,B,KM1906,Dimethylsulfonioacetate,1734084096,NA,NA
220628_Smp_MU18_C,MU18,C,KM1906,Dimethylsulfonioacetate,1633991040,NA,NA
220628_Smp_MU19_A,MU19,A,KM1906,Dimethylsulfonioacetate,858482944,NA,NA
220628_Smp_MU19_B,MU19,B,KM1906,Dimethylsulfonioacetate,1075492864,NA,NA
220628_Smp_MU19_C,MU19,C,KM1906,Dimethylsulfonioacetate,797330240,NA,NA
220628_Smp_MU2_A,MU2,A,KM1906,Dimethylsulfonioacetate,173616144,NA,NA
220628_Smp_MU2_B,MU2,B,KM1906,Dimethylsulfonioacetate,341419360,NA,NA
220628_Smp_MU2_C,MU2,C,KM1906,Dimethylsulfonioacetate,332893088,NA,NA
220628_Smp_MU20_A,MU20,A,KM1906,Dimethylsulfonioacetate,460194240,NA,NA
220628_Smp_MU20_B,MU20,B,KM1906,Dimethylsulfonioacetate,1237886720,NA,NA
220628_Smp_MU20_C,MU20,C,KM1906,Dimethylsulfonioacetate,658332608,NA,NA
220628_Smp_MU21_A,MU21,A,KM1906,Dimethylsulfonioacetate,386192320,NA,NA
220628_Smp_MU21_B,MU21,B,KM1906,Dimethylsulfonioacetate,943639680,NA,NA
