SampID,cruise,exp,treatment,rep,Area,Fragment_mz,blk.slope,slope,std.error.slope,intercept,std.error.intercept,std_error,treatment_conc,nM.in.vial,blk.conc,nM.in.vial.adj,se.nM.in.vial.adj,Cruise,Exp,Treatment,Vol_Filt_L,Spike_time,Filt_time_start,Filt_time_end,exp_time,filt_time,incubation_time1,incubation_time2,nM.in.smp,se.nM.in.smp,nM.per.hour.1,nM.per.hour.2,se.nM.per.hour.1,se.nM.per.hour.2
RC104_UCH1_Trig_B,RC104,UCH1,Trig,B,175810304,97.0954,0.2318965797530301,1017321.216,90194.17476789634,221126137.6,10333040.827949025,0.08865850170954888,50,172.8169050590212,11.594828987651505,161.22207607136968,15.321687872614177,RC104,UCH1,Trig,2,2023-09-03T14:55:00Z,2023-09-03T15:25:00Z,2023-09-03T15:40:00Z,30,15,37.5,45,0.03224441521427394,0.0028587415413981097,0.0515910643428383,0.04299255361903192,0.004573986466236976,0.0038116553885308127
RC104_UCH1_Trig_C,RC104,UCH1,Trig,C,136989680,97.0954,0.2318965797530301,1017321.216,90194.17476789634,221126137.6,10333040.827949025,0.08865850170954888,50,134.657252641038,11.594828987651505,123.0624236533865,11.938510263478625,RC104,UCH1,Trig,2,2023-09-03T14:55:00Z,2023-09-03T15:25:00Z,2023-09-03T15:41:00Z,30,16,38,46,0.024612484730677297,0.002182106019570999,0.03886181799580626,0.03210324095305734,0.003445430557217367,0.0028462252429186942
RC104_UKH1_0nM_A,RC104,UKH1,0nM,A,1950095,97.0954,0.2318965797530301,956313.5302857145,23879.38793335874,70106711.59999996,2735727.5688457876,0.024970250003912814,0,2.0391795559113093,0,2.0391795559113093,0.0509188233139733,RC104,UKH1,0nM,1.5,2023-09-01T13:19:00Z,2023-09-01T13:49:00Z,2023-09-01T13:56:00Z,30,7,33.5,37,5.437812149096824e-4,1.3578352883726212e-5,9.739365043158491e-4,8.818073755292147e-4,2.431943800070366e-5,2.201895062225872e-5
RC104_UKH1_0nM_B,RC104,UKH1,0nM,B,1406645,97.0954,0.2318965797530301,956313.5302857145,23879.38793335874,70106711.59999996,2735727.5688457876,0.024970250003912814,0,1.470903584915024,0,1.470903584915024,0.03672883024697975,RC104,UKH1,0nM,1.5,2023-09-01T13:19:00Z,2023-09-01T13:49:00Z,2023-09-01T14:00:00Z,30,11,35.5,41,3.922409559773397e-4,9.794354732527931e-6,6.629424608067713e-4,5.740111550887898e-4,1.655383898455425e-5,1.433320204760185e-5
RC104_UKH1_0nM_C,RC104,UKH1,0nM,C,1918421,97.0954,0.2318965797530301,956313.5302857145,23879.38793335874,70106711.59999996,2735727.5688457876,0.024970250003912814,0,2.006058619108777,0,2.006058619108777,0.050091785241650276,RC104,UKH1,0nM,1.5,2023-09-01T13:19:00Z,2023-09-01T13:49:00Z,2023-09-01T14:00:00Z,30,11,35.5,41,5.349489650956738e-4,1.3357809397773403e-5,9.0413909593635e-4,7.828521440424494e-4,2.257657926384237e-5,1.9548013752839125e-5
RC104_UKH1_10nM_A,RC104,UKH1,10nM,A,66229596,97.0954,0.2318965797530301,956313.5302857145,23879.38793335874,70106711.59999996,2735727.5688457876,0.024970250003912814,10,69.25510714066004,2.318965797530301,66.93614134312975,1.7293173393500487,RC104,UKH1,10nM,1.5,2023-09-01T13:19:00Z,2023-09-01T13:49:00Z,2023-09-01T14:00:00Z,30,11,35.5,41,0.017849637691501264,4.4570991563605176e-4,0.03016840173211481,0.02612142101195307,7.533125334693833e-4,6.522584131259294e-4
RC104_UKH1_10nM_B,RC104,UKH1,10nM,B,86391728,97.0954,0.2318965797530301,956313.5302857145,23879.38793335874,70106711.59999996,2735727.5688457876,0.024970250003912814,10,90.33828892307844,2.318965797530301,88.01932312554814,2.2557696593349763,RC104,UKH1,10nM,1.5,2023-09-01T13:19:00Z,2023-09-01T13:49:00Z,2023-09-01T14:00:00Z,30,11,35.5,41,0.02347181950014617,5.860972009653657e-4,0.03967068084531747,0.03434900414655537,9.905868185330125e-4,8.577032209249254e-4
RC104_UKH1_10nM_C,RC104,UKH1,10nM,C,68909496,97.0954,0.2318965797530301,956313.5302857145,23879.38793335874,70106711.59999996,2735727.5688457876,0.024970250003912814,10,72.05743076688682,2.318965797530301,69.73846496935653,1.799292060888803,RC104,UKH1,10nM,1.5,2023-09-01T13:19:00Z,2023-09-01T13:49:00Z,2023-09-01T14:00:00Z,30,11,35.5,41,0.018596923991828405,4.6436984137971954e-4,0.03143142083125928,0.027215010719748887,7.848504361347373e-4,6.795656215312968e-4
RC104_UKH1_100nM_A,RC104,UKH1,100nM,A,258478480,97.0954,0.2318965797530301,956313.5302857145,23879.38793335874,70106711.59999996,2735727.5688457876,0.024970250003912814,100,270.2863358241677,23.18965797530301,247.09667784886466,6.749117378171003,RC104,UKH1,100nM,1.5,2023-09-01T13:52:00Z,2023-09-01T14:23:00Z,2023-09-01T14:30:00Z,31,7,34.5,38,0.0658924474263639,0.001645350885605988,0.11459556074150244,0.10404070646267984,0.002861479801053892,0.002597922450956823
RC104_UKH1_100nM_B,RC104,UKH1,100nM,B,191151024,97.0954,0.2318965797530301,956313.5302857145,23879.38793335874,70106711.59999996,2735727.5688457876,0.024970250003912814,100,199.88321606501842,23.18965797530301,176.6935580897154,4.991133876729632,RC104,UKH1,100nM,1.5,2023-09-01T13:52:00Z,2023-09-01T14:23:00Z,2023-09-01T14:35:00Z,31,12,37,43,0.047118282157257434,0.0011765552852216225,0.07640802511987692,0.06574644021942898,0.0019079274895485768,0.00164170504914645
