Rep,Compound,Area,Cruise
220628_Smp_MU7_B,Dimethylsulfonioacetate,507718688,KM1906
220628_Smp_MU7_C,Dimethylsulfonioacetate,508099040,KM1906
220628_Smp_MU8_A,Dimethylsulfonioacetate,511971104,KM1906
220628_Smp_MU8_B,Dimethylsulfonioacetate,877345472,KM1906
220628_Smp_MU8_C,Dimethylsulfonioacetate,1002245888,KM1906
220628_Smp_MU9_A,Dimethylsulfonioacetate,699714176,KM1906
220628_Smp_MU9_B,Dimethylsulfonioacetate,905548224,KM1906
220628_Smp_MU9_C,Dimethylsulfonioacetate,844836480,KM1906
220628_Std_4uMStdsMix1InH2O_1,Dimethylsulfoniopropionate,NA,KM1906
220628_Std_4uMStdsMix1InH2O_2,Dimethylsulfoniopropionate,NA,KM1906
220628_Std_4uMStdsMix1InMatrix_1,Dimethylsulfoniopropionate,710277312,KM1906
220628_Std_4uMStdsMix1InMatrix_2,Dimethylsulfoniopropionate,443714048,KM1906
220628_Std_4uMStdsMix2InH2O_1,Dimethylsulfoniopropionate,1206733312,KM1906
220628_Std_4uMStdsMix2InH2O_2,Dimethylsulfoniopropionate,1298522624,KM1906
220628_Std_4uMStdsMix2InMatrix_1,Dimethylsulfoniopropionate,1544581504,KM1906
220628_Std_4uMStdsMix2InMatrix_2,Dimethylsulfoniopropionate,1400983296,KM1906
220628_Std_H2OinMatrix_1,Dimethylsulfoniopropionate,776535168,KM1906
220628_Std_H2OinMatrix_2,Dimethylsulfoniopropionate,413480000,KM1906
220628_Poo_TruePooG3_Full1,Dimethylsulfoniopropionate,984378048,KM1906
220628_Poo_TruePooG3_Full2,Dimethylsulfoniopropionate,811162368,KM1906
220628_Poo_TruePooG3_Full3,Dimethylsulfoniopropionate,647171136,KM1906
220628_Poo_TruePooG3_Half1,Dimethylsulfoniopropionate,547688000,KM1906
220628_Poo_TruePooG3_Half2,Dimethylsulfoniopropionate,405166464,KM1906
220628_Poo_TruePooG3_Half3,Dimethylsulfoniopropionate,374615200,KM1906
220628_Smp_MBlk1_A,Dimethylsulfoniopropionate,56142204,KM1906
220628_Smp_MBlk1_B,Dimethylsulfoniopropionate,9655344,KM1906
220628_Smp_MMQBlk1_A,Dimethylsulfoniopropionate,21737578,KM1906
220628_Smp_MMQBlk1_B,Dimethylsulfoniopropionate,16127635,KM1906
220628_Smp_MU1_A,Dimethylsulfoniopropionate,2914172672,KM1906
220628_Smp_MU1_B,Dimethylsulfoniopropionate,1552225280,KM1906
220628_Smp_MU1_C,Dimethylsulfoniopropionate,373117440,KM1906
220628_Smp_MU10_A,Dimethylsulfoniopropionate,5387837440,KM1906
220628_Smp_MU10_B,Dimethylsulfoniopropionate,3883498752,KM1906
220628_Smp_MU10_C,Dimethylsulfoniopropionate,2261560064,KM1906
220628_Smp_MU11_A,Dimethylsulfoniopropionate,306260416,KM1906
220628_Smp_MU11_B,Dimethylsulfoniopropionate,881339968,KM1906
220628_Smp_MU11_C,Dimethylsulfoniopropionate,415257984,KM1906
220628_Smp_MU14_A,Dimethylsulfoniopropionate,532258976,KM1906
220628_Smp_MU14_B,Dimethylsulfoniopropionate,1288058752,KM1906
220628_Smp_MU14_C,Dimethylsulfoniopropionate,957764800,KM1906
220628_Smp_MU15_A,Dimethylsulfoniopropionate,824182080,KM1906
220628_Smp_MU15_B,Dimethylsulfoniopropionate,1433755136,KM1906
220628_Smp_MU15_C,Dimethylsulfoniopropionate,971613632,KM1906
220628_Smp_MU16_A,Dimethylsulfoniopropionate,131714712,KM1906
220628_Smp_MU16_B,Dimethylsulfoniopropionate,2161200128,KM1906
220628_Smp_MU16_C,Dimethylsulfoniopropionate,1068780736,KM1906
220628_Smp_MU17_A,Dimethylsulfoniopropionate,308913440,KM1906
220628_Smp_MU17_B,Dimethylsulfoniopropionate,351889664,KM1906
220628_Smp_MU17_C,Dimethylsulfoniopropionate,1166060288,KM1906
220628_Smp_MU18_A,Dimethylsulfoniopropionate,984047872,KM1906
220628_Smp_MU18_B,Dimethylsulfoniopropionate,5190036992,KM1906
220628_Smp_MU18_C,Dimethylsulfoniopropionate,3163185152,KM1906
220628_Smp_MU19_A,Dimethylsulfoniopropionate,543143872,KM1906
220628_Smp_MU19_B,Dimethylsulfoniopropionate,277744544,KM1906
220628_Smp_MU19_C,Dimethylsulfoniopropionate,598596416,KM1906
220628_Smp_MU2_A,Dimethylsulfoniopropionate,49313264,KM1906
220628_Smp_MU2_B,Dimethylsulfoniopropionate,636669504,KM1906
220628_Smp_MU2_C,Dimethylsulfoniopropionate,405162528,KM1906
220628_Smp_MU20_A,Dimethylsulfoniopropionate,310819840,KM1906
220628_Smp_MU20_B,Dimethylsulfoniopropionate,2225169920,KM1906
220628_Smp_MU20_C,Dimethylsulfoniopropionate,674447232,KM1906
220628_Smp_MU21_A,Dimethylsulfoniopropionate,205629856,KM1906
220628_Smp_MU21_B,Dimethylsulfoniopropionate,1026675648,KM1906
220628_Smp_MU21_C,Dimethylsulfoniopropionate,220101600,KM1906
220628_Smp_MU22_A,Dimethylsulfoniopropionate,385811072,KM1906
220628_Smp_MU22_B,Dimethylsulfoniopropionate,253221936,KM1906
220628_Smp_MU22_C,Dimethylsulfoniopropionate,896772096,KM1906
220628_Smp_MU23_A,Dimethylsulfoniopropionate,374450016,KM1906
220628_Smp_MU23_B,Dimethylsulfoniopropionate,820714880,KM1906
220628_Smp_MU23_C,Dimethylsulfoniopropionate,971577792,KM1906
220628_Smp_MU24_A,Dimethylsulfoniopropionate,315005920,KM1906
220628_Smp_MU24_B,Dimethylsulfoniopropionate,959002816,KM1906
220628_Smp_MU24_C,Dimethylsulfoniopropionate,457929824,KM1906
220628_Smp_MU3_A,Dimethylsulfoniopropionate,41189796,KM1906
220628_Smp_MU3_B,Dimethylsulfoniopropionate,224433328,KM1906
220628_Smp_MU3_C,Dimethylsulfoniopropionate,162673072,KM1906
220628_Smp_MU4_A,Dimethylsulfoniopropionate,323768512,KM1906
220628_Smp_MU4_B,Dimethylsulfoniopropionate,490202464,KM1906
220628_Smp_MU4_C,Dimethylsulfoniopropionate,84535144,KM1906
220628_Smp_MU5_A,Dimethylsulfoniopropionate,448078336,KM1906
220628_Smp_MU5_B,Dimethylsulfoniopropionate,325044640,KM1906
220628_Smp_MU5_C,Dimethylsulfoniopropionate,72525208,KM1906
220628_Smp_MU6_A,Dimethylsulfoniopropionate,88131120,KM1906
220628_Smp_MU6_B,Dimethylsulfoniopropionate,392964192,KM1906
220628_Smp_MU6_C,Dimethylsulfoniopropionate,477282560,KM1906
220628_Smp_MU7_A,Dimethylsulfoniopropionate,422402432,KM1906
220628_Smp_MU7_B,Dimethylsulfoniopropionate,413583488,KM1906
220628_Smp_MU7_C,Dimethylsulfoniopropionate,210874560,KM1906
220628_Smp_MU8_A,Dimethylsulfoniopropionate,238453120,KM1906
220628_Smp_MU8_B,Dimethylsulfoniopropionate,212014384,KM1906
220628_Smp_MU8_C,Dimethylsulfoniopropionate,914347200,KM1906
220628_Smp_MU9_A,Dimethylsulfoniopropionate,577292608,KM1906
220628_Smp_MU9_B,Dimethylsulfoniopropionate,2214259712,KM1906
220628_Smp_MU9_C,Dimethylsulfoniopropionate,854548480,KM1906
220628_Std_4uMStdsMix1InH2O_1,Glycine betaine,1897580544,KM1906
220628_Std_4uMStdsMix1InH2O_2,Glycine betaine,2297464320,KM1906
220628_Std_4uMStdsMix1InMatrix_1,Glycine betaine,6090486784,KM1906
220628_Std_4uMStdsMix1InMatrix_2,Glycine betaine,6040576512,KM1906
220628_Std_4uMStdsMix2InH2O_1,Glycine betaine,39505568,KM1906
220628_Std_4uMStdsMix2InH2O_2,Glycine betaine,33000014,KM1906
220628_Std_4uMStdsMix2InMatrix_1,Glycine betaine,3804160256,KM1906
220628_Std_4uMStdsMix2InMatrix_2,Glycine betaine,3477530368,KM1906
220628_Std_H2OinMatrix_1,Glycine betaine,4479536640,KM1906
220628_Std_H2OinMatrix_2,Glycine betaine,3658748928,KM1906
220628_Poo_TruePooG3_Full1,Glycine betaine,6154583552,KM1906
220628_Poo_TruePooG3_Full2,Glycine betaine,5955445248,KM1906
220628_Poo_TruePooG3_Full3,Glycine betaine,5778403328,KM1906
220628_Poo_TruePooG3_Half1,Glycine betaine,3331140864,KM1906
220628_Poo_TruePooG3_Half2,Glycine betaine,3043355136,KM1906
220628_Poo_TruePooG3_Half3,Glycine betaine,3032210944,KM1906
220628_Smp_MBlk1_A,Glycine betaine,276698016,KM1906
220628_Smp_MBlk1_B,Glycine betaine,28126388,KM1906
220628_Smp_MMQBlk1_A,Glycine betaine,62481736,KM1906
220628_Smp_MMQBlk1_B,Glycine betaine,36338876,KM1906
220628_Smp_MU1_A,Glycine betaine,2882999552,KM1906
220628_Smp_MU1_B,Glycine betaine,3449287168,KM1906
220628_Smp_MU1_C,Glycine betaine,3414040064,KM1906
220628_Smp_MU10_A,Glycine betaine,4870836224,KM1906
220628_Smp_MU10_B,Glycine betaine,4667055616,KM1906
220628_Smp_MU10_C,Glycine betaine,2733110272,KM1906
220628_Smp_MU11_A,Glycine betaine,9437200384,KM1906
220628_Smp_MU11_B,Glycine betaine,11674660864,KM1906
220628_Smp_MU11_C,Glycine betaine,9294872576,KM1906
220628_Smp_MU14_A,Glycine betaine,6169145856,KM1906
220628_Smp_MU14_B,Glycine betaine,7887585280,KM1906
220628_Smp_MU14_C,Glycine betaine,6985772544,KM1906
220628_Smp_MU15_A,Glycine betaine,6583996416,KM1906
220628_Smp_MU15_B,Glycine betaine,8579324928,KM1906
220628_Smp_MU15_C,Glycine betaine,6908696064,KM1906
220628_Smp_MU16_A,Glycine betaine,5483202048,KM1906
220628_Smp_MU16_B,Glycine betaine,9609210880,KM1906
