SampID,Batch,Organism,Compound,Area,min.area.flag,blk.flag,smp.remove
220111_Smp_SA55_A_pos,Bacteria,SA55,Glycine betaine,717338624,NA,NA,NA
220111_Smp_SA55_B_pos,Bacteria,SA55,Glycine betaine,809690752,NA,NA,NA
220111_Smp_SA55_C_pos,Bacteria,SA55,Glycine betaine,457473184,NA,NA,NA
220111_Smp_SA59_A_pos,Bacteria,SA59,Glycine betaine,354192832,NA,NA,NA
220111_Smp_SA59_B_pos,Bacteria,SA59,Glycine betaine,310742592,NA,NA,NA
220111_Smp_SA59_C_pos,Bacteria,SA59,Glycine betaine,364465504,NA,NA,NA
220111_Smp_SA60_A_pos,Bacteria,SA60,Glycine betaine,23133964,NA,Flag,Smp_Remove
220111_Smp_SA60_B_pos,Bacteria,SA60,Glycine betaine,23133964,NA,Flag,Smp_Remove
220111_Smp_SCM1_Exp1_pos,Bacteria,Nmar,Glycine betaine,19495374.5,NA,Flag,Smp_Remove
220111_Smp_SCM1_Exp2_pos,Bacteria,Nmar,Glycine betaine,19495374.5,NA,Flag,Smp_Remove
220111_Smp_SCM1_Exp3_pos,Bacteria,Nmar,Glycine betaine,19495374.5,NA,Flag,Smp_Remove
220111_Smp_SCM1_St1_pos,Bacteria,Nmar,Glycine betaine,19495374.5,NA,Flag,Smp_Remove
220111_Smp_SCM1_St2_pos,Bacteria,Nmar,Glycine betaine,19495374.5,NA,Flag,Smp_Remove
220111_Smp_SCM1_St3_pos,Bacteria,Nmar,Glycine betaine,19495374.5,NA,Flag,Smp_Remove
220111_Smp_SCM1_St4_pos,Bacteria,Nmar,Glycine betaine,19495374.5,NA,Flag,Smp_Remove
220111_Smp_DSS3_A_pos,Bacteria,DSS3,Gonyol,0,Flag,Flag,Smp_Remove
220111_Smp_DSS3_B_pos,Bacteria,DSS3,Gonyol,0,Flag,Flag,Smp_Remove
220111_Smp_DSS3_C_pos,Bacteria,DSS3,Gonyol,0,Flag,Flag,Smp_Remove
220111_Smp_Och_A_pos,Bacteria,OCh114,Gonyol,0,Flag,Flag,Smp_Remove
220111_Smp_Och_B_pos,Bacteria,OCh114,Gonyol,0,Flag,Flag,Smp_Remove
220111_Smp_Och_C_pos,Bacteria,OCh114,Gonyol,0,Flag,Flag,Smp_Remove
