Name,SampID,Batch,uM.in.vial.ave,uM_C_vial,uM_N_vial
Betonicine,220104_Smp_371_A_pos,Haptophyte,1.9419796686072502e-5,1.359385768025075e-4,1.9419796686072502e-5
Betonicine,220104_Smp_371_B_pos,Haptophyte,0,0,0
Betonicine,220104_Smp_371_C_pos,Haptophyte,0,0,0
Betonicine,220104_Smp_2090_A_pos,Haptophyte,2.5988314895955522e-5,1.8191820427168866e-4,2.5988314895955522e-5
Betonicine,220104_Smp_2090_B_pos,Haptophyte,5.445841795941154e-5,3.8120892571588075e-4,5.445841795941154e-5
Betonicine,220104_Smp_2090_C_pos,Haptophyte,0,0,0
Betonicine,220104_Smp_Ca_A_pos,Haptophyte,0,0,0
Betonicine,220104_Smp_Ca_B_pos,Haptophyte,4.7431904141330476e-5,3.320233289893133e-4,4.7431904141330476e-5
Betonicine,220104_Smp_Ca_C_pos,Haptophyte,1.099698343684408e-4,7.697888405790856e-4,1.099698343684408e-4
Betonicine,220104_Smp_Cr_A_pos,Haptophyte,0,0,0
Betonicine,220104_Smp_Cr_B_pos,Haptophyte,0,0,0
Betonicine,220104_Smp_Cr_C_pos,Haptophyte,0,0,0
Betonicine,220104_Smp_Cs_A_pos,Haptophyte,1.1000897929221841e-4,7.700628550455289e-4,1.1000897929221841e-4
Betonicine,220104_Smp_Cs_B_pos,Haptophyte,1.3693677235883657e-4,9.58557406511856e-4,1.3693677235883657e-4
Betonicine,220104_Smp_Cs_C_pos,Haptophyte,6.860539341263993e-5,4.8023775388847953e-4,6.860539341263993e-5
Betonicine,220104_Smp_P3_A_pos,Haptophyte,4.759239832881868e-5,3.331467883017308e-4,4.759239832881868e-5
Betonicine,220104_Smp_P3_B_pos,Haptophyte,3.040386229806997e-5,2.128270360864898e-4,3.040386229806997e-5
Betonicine,220104_Smp_P3_C_pos,Haptophyte,4.8985957615301617e-5,3.4290170330711134e-4,4.8985957615301617e-5
Betonicine,220104_Smp_P5-5_A_pos,Haptophyte,4.2546617653884705e-5,2.9782632357719293e-4,4.2546617653884705e-5
Betonicine,220104_Smp_P5-5_B_pos,Haptophyte,0,0,0
Betonicine,220104_Smp_P5-5_C_pos,Haptophyte,0,0,0
Dimethylsulfonioacetate,211215_Blk_MediaBlk_A_pos,Diatom,0,0,NA
Dimethylsulfonioacetate,211215_Blk_MediaBlk_B_pos,Diatom,0,0,NA
Dimethylsulfonioacetate,211215_Blk_MediaBlk_Fc_pos,Diatom,0,0,NA
Dimethylsulfonioacetate,211215_Blk_MediaBlk_Pc55x_pos,Diatom,0,0,NA
Dimethylsulfonioacetate,211215_Blk_MediaBlk_Z_pos,Diatom,0,0,NA
Dimethylsulfonioacetate,211215_Smp_Cy_A_pos,Diatom,0.2559388585655455,1.023755434262182,NA
Dimethylsulfonioacetate,211215_Smp_Cy_B_pos,Diatom,0.2161523852491694,0.8646095409966776,NA
Dimethylsulfonioacetate,211215_Smp_Cy_C_pos,Diatom,0.30348304002046383,1.2139321600818553,NA
Dimethylsulfonioacetate,211215_Smp_Fc_A_pos,Diatom,2.0754450699229503e-4,8.301780279691801e-4,NA
Dimethylsulfonioacetate,211215_Smp_Fc_B_pos,Diatom,1.388143376791467e-4,5.552573507165868e-4,NA
Dimethylsulfonioacetate,211215_Smp_Fc_C_pos,Diatom,4.0723581947805994e-4,0.0016289432779122398,NA
Dimethylsulfonioacetate,211215_Smp_Np_A_pos,Diatom,0,0,NA
Dimethylsulfonioacetate,211215_Smp_Np_C_pos,Diatom,0,0,NA
