Exp,Treatment,Samp_ID,Vol_Filt_L,Spike_time,Filt_time_start,Filt_time_end,Local_Date,Cruise
UKT2,0nM,TN397_UKT2_0nM_C,2,2021-11-30T13:10:00Z,2021-11-30T13:40:00Z,2021-11-30T13:51:00Z,30/11/2021,TN397
UKT2,2nM,TN397_UKT2_2nM_A,2,2021-11-30T13:10:00Z,2021-11-30T13:42:00Z,2021-11-30T13:51:00Z,30/11/2021,TN397
UKT2,2nM,TN397_UKT2_2nM_B,2,2021-11-30T13:10:00Z,2021-11-30T13:42:00Z,2021-11-30T13:51:00Z,30/11/2021,TN397
UKT2,2nM,TN397_UKT2_2nM_C,2,2021-11-30T13:10:00Z,2021-11-30T13:42:00Z,2021-11-30T13:51:00Z,30/11/2021,TN397
UKT2,5nM,TN397_UKT2_5nM_A,2,2021-11-30T13:37:00Z,2021-11-30T14:08:00Z,2021-11-30T14:21:00Z,30/11/2021,TN397
UKT2,5nM,TN397_UKT2_5nM_B,2,2021-11-30T13:37:00Z,2021-11-30T14:08:00Z,2021-11-30T14:20:00Z,30/11/2021,TN397
UKT2,5nM,TN397_UKT2_5nM_C,2,2021-11-30T13:37:00Z,2021-11-30T14:08:00Z,2021-11-30T14:19:00Z,30/11/2021,TN397
UKT2,10nM,TN397_UKT2_10nM_A,2,2021-11-30T13:46:00Z,2021-11-30T14:17:00Z,2021-11-30T14:29:00Z,30/11/2021,TN397
UKT2,10nM,TN397_UKT2_10nM_B,2,2021-11-30T13:46:00Z,2021-11-30T14:17:00Z,2021-11-30T14:32:00Z,30/11/2021,TN397
UKT2,10nM,TN397_UKT2_10nM_C,2,2021-11-30T13:46:00Z,2021-11-30T14:17:00Z,2021-11-30T14:29:00Z,30/11/2021,TN397
UKT2,50nM,TN397_UKT2_50nM_A,2,2021-11-30T14:09:00Z,2021-11-30T14:41:00Z,2021-11-30T14:56:00Z,30/11/2021,TN397
UKT2,50nM,TN397_UKT2_50nM_B,2,2021-11-30T14:09:00Z,2021-11-30T14:41:00Z,2021-11-30T14:52:00Z,30/11/2021,TN397
UKT2,50nM,TN397_UKT2_50nM_C,2,2021-11-30T14:09:00Z,2021-11-30T14:41:00Z,2021-11-30T14:55:00Z,30/11/2021,TN397
UKT2,200nM,TN397_UKT2_200nM_A,2,2021-11-30T14:15:00Z,2021-11-30T14:48:00Z,2021-11-30T15:00:00Z,30/11/2021,TN397
UKT2,200nM,TN397_UKT2_200nM_B,2,2021-11-30T14:15:00Z,2021-11-30T14:48:00Z,2021-11-30T15:04:00Z,30/11/2021,TN397
UKT2,200nM,TN397_UKT2_200nM_C,2,2021-11-30T14:15:00Z,2021-11-30T14:48:00Z,2021-11-30T15:02:00Z,30/11/2021,TN397
UKT2,1000nM,TN397_UKT2_1000nM_A,2,2021-11-30T14:29:00Z,2021-11-30T15:01:00Z,2021-11-30T15:17:00Z,30/11/2021,TN397
UKT2,1000nM,TN397_UKT2_1000nM_B,2,2021-11-30T14:29:00Z,2021-11-30T15:01:00Z,2021-11-30T15:16:00Z,30/11/2021,TN397
UKT2,1000nM,TN397_UKT2_1000nM_C,2,2021-11-30T14:29:00Z,2021-11-30T15:01:00Z,2021-11-30T15:13:00Z,30/11/2021,TN397
UKH3,0nM,TN397_UKH3_0nM_A,2,2021-12-01T13:41:00Z,2021-12-01T14:12:00Z,2021-12-01T14:27:00Z,1/12/21,TN397
UKH3,0nM,TN397_UKH3_0nM_B,2,2021-12-01T13:41:00Z,2021-12-01T14:12:00Z,2021-12-01T14:27:00Z,1/12/21,TN397
UKH3,0nM,TN397_UKH3_0nM_C,2,2021-12-01T13:41:00Z,2021-12-01T14:12:00Z,2021-12-01T14:31:00Z,1/12/21,TN397
UKH3,5nM,TN397_UKH3_5nM_A,2,2021-12-01T13:41:00Z,2021-12-01T14:14:00Z,2021-12-01T14:26:00Z,1/12/21,TN397
UKH3,5nM,TN397_UKH3_5nM_B,2,2021-12-01T13:41:00Z,2021-12-01T14:14:00Z,2021-12-01T14:31:00Z,1/12/21,TN397
UKH3,5nM,TN397_UKH3_5nM_C,2,2021-12-01T13:41:00Z,2021-12-01T14:14:00Z,2021-12-01T14:25:00Z,1/12/21,TN397
UKH3,10nM,TN397_UKH3_10nM_A,2,2021-12-01T14:08:00Z,2021-12-01T14:41:00Z,2021-12-01T14:57:00Z,1/12/21,TN397
UKH3,10nM,TN397_UKH3_10nM_B,2,2021-12-01T14:08:00Z,2021-12-01T14:41:00Z,2021-12-01T14:59:00Z,1/12/21,TN397
UKH3,10nM,TN397_UKH3_10nM_C,2,2021-12-01T14:08:00Z,2021-12-01T14:41:00Z,2021-12-01T14:57:00Z,1/12/21,TN397
UKH3,50nM,TN397_UKH3_50nM_A,2,2021-12-01T14:17:00Z,2021-12-01T14:48:00Z,2021-12-01T14:59:00Z,1/12/21,TN397
UKH3,50nM,TN397_UKH3_50nM_B,2,2021-12-01T14:17:00Z,2021-12-01T14:48:00Z,2021-12-01T15:02:00Z,1/12/21,TN397
UKH3,50nM,TN397_UKH3_50nM_C,2,2021-12-01T14:17:00Z,2021-12-01T14:48:00Z,2021-12-01T14:58:00Z,1/12/21,TN397
UKH3,200nM,TN397_UKH3_200nM_A,2,2021-12-01T14:44:00Z,2021-12-01T15:14:00Z,2021-12-01T15:27:00Z,1/12/21,TN397
UKH3,200nM,TN397_UKH3_200nM_B,2,2021-12-01T14:44:00Z,2021-12-01T15:14:00Z,2021-12-01T15:26:00Z,1/12/21,TN397
UKH3,200nM,TN397_UKH3_200nM_C,2,2021-12-01T14:44:00Z,2021-12-01T15:14:00Z,2021-12-01T15:30:00Z,1/12/21,TN397
UKH3,500nM,TN397_UKH3_500nM_A,2,2021-12-01T14:52:00Z,2021-12-01T15:22:00Z,2021-12-01T15:32:00Z,1/12/21,TN397
UKH3,500nM,TN397_UKH3_500nM_B,2,2021-12-01T14:52:00Z,2021-12-01T15:22:00Z,2021-12-01T15:37:00Z,1/12/21,TN397
UKH3,500nM,TN397_UKH3_500nM_C,2,2021-12-01T14:52:00Z,2021-12-01T15:22:00Z,2021-12-01T15:41:00Z,1/12/21,TN397
UKH3,1500nM,TN397_UKH3_1500nM_A,2,2021-12-01T15:11:00Z,2021-12-01T15:47:00Z,2021-12-01T16:03:00Z,1/12/21,TN397
UKH3,1500nM,TN397_UKH3_1500nM_B,2,2021-12-01T15:11:00Z,2021-12-01T15:47:00Z,2021-12-01T16:02:00Z,1/12/21,TN397
UKH3,1500nM,TN397_UKH3_1500nM_C,2,2021-12-01T15:11:00Z,2021-12-01T15:47:00Z,2021-12-01T16:05:00Z,1/12/21,TN397
UKT3,0nM,TN397_UKT3_0nM_A,2,2021-12-03T13:30:00Z,2021-12-03T14:01:00Z,2021-12-03T14:12:00Z,3/12/21,TN397
UKT3,0nM,TN397_UKT3_0nM_B,2,2021-12-03T13:30:00Z,2021-12-03T14:01:00Z,2021-12-03T14:12:00Z,3/12/21,TN397
UKT3,0nM,TN397_UKT3_0nM_C,2,2021-12-03T13:30:00Z,2021-12-03T14:01:00Z,2021-12-03T14:12:00Z,3/12/21,TN397
UKT3,5nM,TN397_UKT3_5nM_A,2,2021-12-03T13:30:00Z,2021-12-03T14:00:00Z,2021-12-03T14:09:00Z,3/12/21,TN397
UKT3,5nM,TN397_UKT3_5nM_B,2,2021-12-03T13:30:00Z,2021-12-03T14:00:00Z,2021-12-03T14:10:00Z,3/12/21,TN397
UKT3,5nM,TN397_UKT3_5nM_C,2,2021-12-03T13:30:00Z,2021-12-03T14:00:00Z,2021-12-03T14:09:00Z,3/12/21,TN397
UKT3,10nM,TN397_UKT3_10nM_A,2,2021-12-03T13:55:00Z,2021-12-03T14:26:00Z,2021-12-03T14:34:00Z,3/12/21,TN397
UKT3,10nM,TN397_UKT3_10nM_B,2,2021-12-03T13:55:00Z,2021-12-03T14:26:00Z,2021-12-03T14:39:00Z,3/12/21,TN397
UKT3,10nM,TN397_UKT3_10nM_C,2,2021-12-03T13:55:00Z,2021-12-03T14:26:00Z,2021-12-03T14:37:00Z,3/12/21,TN397
