Rep,Compound,Area,Cruise
220623_Smp_MQBlk_1,Dimethylsulfoniopropionate,2860693,KM1906
220623_Smp_MQBlk_2,Dimethylsulfoniopropionate,5771867,KM1906
220623_Smp_MQBlk_3,Dimethylsulfoniopropionate,405276,KM1906
220623_Smp_MQBlk_4,Dimethylsulfoniopropionate,909047,KM1906
220623_Smp_MQBlk_5,Dimethylsulfoniopropionate,603329,KM1906
220623_Smp_MQBlk_6,Dimethylsulfoniopropionate,1097979,KM1906
220623_Smp_MU1_A,Dimethylsulfoniopropionate,53230036,KM1906
220623_Smp_MU1_B,Dimethylsulfoniopropionate,30118760,KM1906
220623_Smp_MU1_C,Dimethylsulfoniopropionate,30392690,KM1906
220623_Smp_MU10_A,Dimethylsulfoniopropionate,36314216,KM1906
220623_Smp_MU10_B,Dimethylsulfoniopropionate,106277144,KM1906
220623_Smp_MU10_C,Dimethylsulfoniopropionate,194583344,KM1906
220623_Smp_MU11_A,Dimethylsulfoniopropionate,212131216,KM1906
220623_Smp_MU11_B,Dimethylsulfoniopropionate,334746304,KM1906
220623_Smp_MU11_C,Dimethylsulfoniopropionate,259693456,KM1906
220623_Smp_MU12_A,Dimethylsulfoniopropionate,252951456,KM1906
220623_Smp_MU12_B,Dimethylsulfoniopropionate,69800856,KM1906
220623_Smp_MU12_C,Dimethylsulfoniopropionate,230231488,KM1906
220623_Smp_MU13_A,Dimethylsulfoniopropionate,63226596,KM1906
220623_Smp_MU13_B,Dimethylsulfoniopropionate,63644124,KM1906
220623_Smp_MU13_C,Dimethylsulfoniopropionate,15293295,KM1906
220623_Smp_MU14_A,Dimethylsulfoniopropionate,155383296,KM1906
220623_Smp_MU14_B,Dimethylsulfoniopropionate,135657664,KM1906
220623_Smp_MU14_C,Dimethylsulfoniopropionate,75310424,KM1906
220623_Smp_MU15_A,Dimethylsulfoniopropionate,52840340,KM1906
220623_Smp_MU15_B,Dimethylsulfoniopropionate,135429136,KM1906
220623_Smp_MU15_C,Dimethylsulfoniopropionate,82766016,KM1906
220623_Smp_MU16_A,Dimethylsulfoniopropionate,112981432,KM1906
220623_Smp_MU16_B,Dimethylsulfoniopropionate,116396048,KM1906
220623_Smp_MU16_C,Dimethylsulfoniopropionate,49899960,KM1906
220623_Smp_MU17_A,Dimethylsulfoniopropionate,114782488,KM1906
