numbered,parent_id,sample_id,am_sample_id,vol_l,c_counts,c_mol,c_mol_l,h_counts,h_mol,h_mol_l,n_counts,n_mol,n_mol_l,station,depth_m,cast,sample_type,local_date,collection_timestamp_utc,vol_filt_l,approximate_salinity,lat_n,long_w,notes,x12
50,S7_C3_D5,S7_C3_D5_B,E2,0.6,2033,7.334258906567749e-6,1.2223764844279583e-5,10120,1.2779803627350242e-4,2.1299672712250404e-4,145,9.195035407755818e-6,1.5325059012926364e-5,7,6,3,POCPN,2022-06-08T00:00:00Z,2022-06-08T18:30:00Z,0.6,28.8,NA,NA,NA,NA
51,S2_C6_D1,S2_C6_D1_B,E3,1,5280,1.915850665209872e-5,1.915850665209872e-5,9199,1.152490799326704e-4,1.152490799326704e-4,379,8.292141269090114e-6,8.292141269090114e-6,2,4,6,POCPN,2022-06-05T00:00:00Z,2022-06-05T14:33:00Z,1,30,NA,NA,"""HPLC and POC from same 2L. POC may be overestimated""",NA
52,S6_C1_D1,S6_C1_D1_C,E4,0.6,11785,4.2847059650152e-5,7.141176608358667e-5,10888,1.3826231257074343e-4,2.304371876179e-4,590,9.9479373605194e-6,1.6579895600865667e-5,6,8,1,POCPN,2022-06-07T00:00:00Z,2022-06-08T00:07:00Z,0.6,25,NA,NA,NA,NA
53,S2_C3_D3,S2_C3_D3_C,E5,1.5,2742,9.916147311736048e-6,6.610764874490699e-6,10454,1.323489064340213e-4,8.823260428934754e-5,194,9.522469329921231e-6,6.348312886614154e-6,2,45,3,POCPN,2022-06-04T00:00:00Z,2022-06-04T15:35:00Z,1.5,31.6,NA,NA,NA,NA
54,S3_C2_D3,S3_C2_D3_A,E6,1,2674,9.66851908669875e-6,9.66851908669875e-6,13209,1.6988677257842103e-4,1.6988677257842103e-4,195,1.2223309017243715e-5,1.2223309017243715e-5,3,10,2,POCPN,2022-06-05T00:00:00Z,2022-06-05T18:33:00Z,1,30.5,NA,NA,NA,NA
55,S2_C3_D4,S2_C3_D4_C,E7,1.5,3411,1.2352372055117697e-5,8.234914703411797e-6,11337,1.4438009910389604e-4,9.625339940259735e-5,238,1.0388110507382483e-5,6.925407004921656e-6,2,30,3,POCPN,2022-06-04T00:00:00Z,2022-06-04T15:35:00Z,1.5,31,NA,NA,NA,NA
56,S6_C2_D3,S6_C2_D3_C,E8,0.25,1167,4.180640628886868e-6,1.672256251554747e-5,5609,6.633403838697346e-5,2.653361535478938e-4,74,4.772716776354098e-6,1.909086710541639e-5,6,50,2,POCPN,2022-06-07T00:00:00Z,2022-06-07T22:06:00Z,0.25,28.8,NA,NA,NA,NA
57,S2_C2_D1,S2_C2_D1_B,E9,1.5,2156,7.782174666561685e-6,5.188116444374457e-6,8271,1.0260474607350416e-4,6.840316404900278e-5,144,7.382384742834119e-6,4.921589828556079e-6,2,135,2,POCPN,2022-06-04T00:00:00Z,2022-06-04T13:31:00Z,1.5,32.8,NA,NA,NA,NA
58,S2_C1_SRF,S2_C1_SRF_C,E10,1,2522,9.114997171909496e-6,9.114997171909496e-6,7020,8.555942101120142e-5,8.555942101120142e-5,184,6.155978046340315e-6,6.155978046340315e-6,2,3,1,POCPN,2022-06-03T00:00:00Z,2022-06-04T02:27:00Z,1,30,NA,NA,NA,NA
59,S7_C1_D1,S7_C1_D1_A,E11,1,4870,1.7665454118785606e-5,1.7665454118785606e-5,9561,1.2018146016652616e-4,1.2018146016652616e-4,329,8.647024741616698e-6,8.647024741616698e-6,7,156,1,POCPN,2022-06-08T00:00:00Z,2022-06-08T15:30:00Z,1,30.5,NA,NA,NA,NA
60,S1_C1_5m,S1_C1_5m_A,E12,0.2,3850,1.3951030743226137e-5,6.975515371613068e-5,11066,1.406876266083852e-4,7.03438133041926e-4,263,1.0122438073529708e-5,5.0612190367648534e-5,1,1,1,POCPN,2022-06-03T00:00:00Z,NA,0.2,27,NA,NA,"""Same 2L sample, POC may be over-estimated""",NA
61,S2_C3_D4,S2_C3_D4_A,F1,1.5,3026,1.0950359310421231e-5,7.300239540280822e-6,8090,1.0013855595657626e-4,6.675903730438418e-5,230,7.204943006570826e-6,4.803295337713884e-6,2,30,3,POCPN,2022-06-04T00:00:00Z,2022-06-04T15:35:00Z,1.5,31,NA,NA,NA,NA
62,S7_C1_D2,S7_C1_D2_C,F2,0.8,2853,1.0320363973193987e-5,1.2900454966492484e-5,7529,9.2494729130076e-5,1.1561841141259498e-4,211,6.654971658263054e-6,8.318714572828816e-6,7,90,1,POCPN,2022-06-08T00:00:00Z,2022-06-08T15:30:00Z,0.8,30.3,NA,NA,NA,NA
63,S5_Uway,S5_Uway_C,F3,1,18947,6.892813829305094e-5,6.892813829305094e-5,13388,1.7232571197582487e-4,1.7232571197582487e-4,1378,1.2398790071338351e-5,1.2398790071338351e-5,5,0,NA,POCPN,2022-06-07T00:00:00Z,2022-06-07T15:00:00Z,1,29,NA,NA,NA,NA
